case_id,actual,spark_prediction,python_prediction,spark_probability,python_probability,match,agreement_status,disagreement_explanation
T2607009879_2026-07-02,On Time,On Time,Moderate,"[0.7067833698030634, 0.19037199124726478, 0.10284463894967177, 0.0]",0.40606686,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607008871_2026-07-02,On Time,On Time,On Time,"[0.9676320272572402, 0.030664395229982964, 0.0017035775127768314, 0.0]",0.4384565,True,BothCorrect,Both pipelines predicted same outcome.
T2607010150_2026-07-02,On Time,On Time,Moderate,"[0.7067833698030634, 0.19037199124726478, 0.10284463894967177, 0.0]",0.47220913,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607006510_2026-07-02,On Time,On Time,Severe,"[0.6063829787234043, 0.2393617021276596, 0.1524822695035461, 0.0017730496453900709]",0.4116001,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607006422_2026-07-02,Minor,Minor,Moderate,"[0.2336448598130841, 0.514018691588785, 0.24922118380062305, 0.003115264797507788]",0.4323329,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607006607_2026-07-02,Severe,Moderate,Severe,"[0.012944983818770227, 0.025889967637540454, 0.919093851132686, 0.042071197411003236]",0.604017,False,PyOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009070_2026-07-02,On Time,On Time,On Time,"[0.9676320272572402, 0.030664395229982964, 0.0017035775127768314, 0.0]",0.44238967,True,BothCorrect,Both pipelines predicted same outcome.
T2607009018_2026-07-02,On Time,On Time,On Time,"[0.9593220338983051, 0.03389830508474576, 0.006779661016949152, 0.0]",0.41436663,True,BothCorrect,Both pipelines predicted same outcome.
T2607008599_2026-07-02,On Time,On Time,On Time,"[0.9676320272572402, 0.030664395229982964, 0.0017035775127768314, 0.0]",0.4576277,True,BothCorrect,Both pipelines predicted same outcome.
T2607005956_2026-07-02,On Time,On Time,On Time,"[0.9754204398447607, 0.02199223803363519, 0.00258732212160414, 0.0]",0.8185492,True,BothCorrect,Both pipelines predicted same outcome.
T2607011438_2026-07-02,On Time,On Time,On Time,"[1.0, 0.0, 0.0, 0.0]",0.492867,True,BothCorrect,Both pipelines predicted same outcome.
