case_id,actual,spark_prediction,python_prediction,spark_probability,python_probability,match,agreement_status,disagreement_explanation
T2607008871_2026-07-02,0.0,0.0,1.0,"[0.9488888948573523, 0.05111110514264772]",0.82489413,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607010150_2026-07-02,1.0,1.0,1.0,"[0.44175402498949784, 0.5582459750105022]",0.9387593,True,BothCorrect,Pipelines agree.
T2607010060_2026-07-02,1.0,1.0,1.0,"[0.3015878879924738, 0.6984121120075262]",0.9331493,True,BothCorrect,Pipelines agree.
T2607006510_2026-07-02,0.0,0.0,0.0,"[0.6519140035225184, 0.3480859964774816]",0.9255738,True,BothCorrect,Pipelines agree.
T2607006422_2026-07-02,0.0,0.0,0.0,"[0.763211759330272, 0.23678824066972803]",0.88264644,True,BothCorrect,Pipelines agree.
T2607006607_2026-07-02,1.0,0.0,1.0,"[0.6015078971655834, 0.3984921028344166]",0.8871711,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607009070_2026-07-02,0.0,1.0,1.0,"[0.34257347786905357, 0.6574265221309464]",0.9001653,True,BothWrong,Pipelines agree.
T2607009018_2026-07-02,1.0,0.0,1.0,"[0.5167325571144737, 0.48326744288552625]",0.89240426,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607008599_2026-07-02,0.0,0.0,1.0,"[0.9549577359048429, 0.0450422640951571]",0.5465119,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607005956_2026-07-02,0.0,0.0,0.0,"[0.9721003605408394, 0.02789963945916063]",0.99579495,True,BothCorrect,Pipelines agree.
T2607011438_2026-07-02,0.0,0.0,0.0,"[0.9632337787315011, 0.03676622126849893]",0.81738013,True,BothCorrect,Pipelines agree.
T2607010506_2026-07-02,0.0,0.0,1.0,"[0.9848463809479674, 0.015153619052032608]",0.88203216,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607010332_2026-07-02,0.0,1.0,0.0,"[0.47538263629253863, 0.5246173637074614]",0.9651202,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607009879_2026-07-02,0.0,0.0,1.0,"[0.5349845513826237, 0.4650154486173763]",0.93044186,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607008971_2026-07-02,0.0,0.0,1.0,"[0.6865990458412425, 0.31340095415875746]",0.8173688,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607006307_2026-07-02,0.0,0.0,1.0,"[0.9112122567106338, 0.08878774328936623]",0.5108296,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607006248_2026-07-02,0.0,0.0,0.0,"[0.9080141853672868, 0.09198581463271316]",0.82975656,True,BothCorrect,Pipelines agree.
T2607010947_2026-07-02,0.0,0.0,0.0,"[0.7312967213730952, 0.2687032786269048]",0.77577716,True,BothCorrect,Pipelines agree.
T2607006782_2026-07-02,1.0,1.0,1.0,"[0.4455756430872724, 0.5544243569127276]",0.9010457,True,BothCorrect,Pipelines agree.
T2607008229_2026-07-02,0.0,0.0,0.0,"[0.6651308549626925, 0.33486914503730747]",0.7359811,True,BothCorrect,Pipelines agree.
T2607005787_2026-07-02,0.0,0.0,0.0,"[0.9644207994693688, 0.03557920053063124]",0.9992339,True,BothCorrect,Pipelines agree.
T2607010322_2026-07-02,0.0,0.0,1.0,"[0.6505159261592222, 0.34948407384077784]",0.87534016,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607011201_2026-07-02,0.0,0.0,0.0,"[0.9110286756484333, 0.08897132435156674]",0.697408,True,BothCorrect,Pipelines agree.
T2607007491_2026-07-02,0.0,1.0,1.0,"[0.27351817533955647, 0.7264818246604435]",0.7704934,True,BothWrong,Pipelines agree.
