case_id,actual,spark_prediction,python_prediction,spark_value,python_value,absolute_difference,match,agreement_status,disagreement_explanation
R001_2026-07-02,16829.706896551725,13831.603063190854,13183.092932900428,13831.603063190854,13183.092932900428,648.5101302904259,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R002_2026-07-02,13683.234782608695,13085.158557100194,10698.499558080812,13085.158557100194,10698.499558080812,2386.6589990193825,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R003_2026-07-02,13525.076923076924,13267.441659859582,11236.170189393944,13267.441659859582,11236.170189393944,2031.2714704656373,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R004_2026-07-02,14822.692913385828,13832.873643182116,14324.408217893211,13832.873643182116,14324.408217893211,491.53457471109505,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R005_2026-07-02,3315.0,3024.1654833031453,2900.5262919782213,3024.1654833031453,2900.5262919782213,123.63919132492401,True,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R006_2026-07-02,1060.0,731.6748989334224,791.9938732238087,731.6748989334224,791.9938732238087,60.318974290386336,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R007_2026-07-02,1987.0,1530.9768729637158,1594.4613998923223,1530.9768729637158,1594.4613998923223,63.484526928606556,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R008_2026-07-02,2761.0,2593.051361152888,2397.5227316825567,2593.051361152888,2397.5227316825567,195.52862947033145,True,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R009_2026-07-02,2138.6315789473683,1803.6949362560688,1729.5564476789382,1803.6949362560688,1729.5564476789382,74.1384885771306,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R010_2026-07-02,2332.0,2202.7200062807706,1953.587759829378,2202.7200062807706,1953.587759829378,249.13224645139258,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
