route_id,direction,stop_sequence,stop_id,distance_from_start_km,scheduled_offset_min,is_timing_point
R001,0,1,S0029,0.0,0.0,true
R001,0,2,S0030,1.181,3.1,false
R001,0,3,S0031,2.392,6.2,false
R001,0,4,S0032,3.647,9.5,false
R001,0,5,S0033,4.922,12.8,false
R001,0,6,S0034,6.354,16.6,true
R001,0,7,S0035,7.523,19.6,false
R001,0,9,S0037,10.024,26.1,false
R001,0,10,S0038,10.939,28.5,false
R001,0,11,S0039,12.293,32.1,true
R001,0,12,S0040,13.636,35.6,false
R001,0,13,S0041,14.606,38.1,false
R001,0,14,S0042,15.801,41.2,false
R001,0,15,S0005,16.866,44.0,true
R001,0,16,S0004,17.729,46.2,true
R001,0,17,S0043,19.044,49.7,false
R001,0,18,S0044,20.361,53.1,false
R001,0,19,S0045,21.349,55.7,false
R001,0,20,S0046,22.397,58.4,false
R001,0,21,S0047,23.736,61.9,true
R001,0,22,S0048,24.783,64.7,false
R001,0,23,S0049,26.089,68.1,false
R001,0,24,S0050,26.933,70.3,true
R001,1,1,S0050,0.0,0.0,true
R001,1,2,S0049,0.844,2.2,false
R001,1,3,S0048,2.149,5.6,false
R001,1,4,S0047,3.196,8.3,false
R001,1,5,S0046,4.536,11.8,false
R001,1,6,S0045,5.584,14.6,true
R001,1,7,S0044,6.571,17.1,false
R001,1,8,S0043,7.889,20.6,false
R001,1,9,S0004,9.204,24.0,true
R001,1,10,S0005,10.067,26.3,true
R001,1,11,S0042,11.132,29.0,true
R001,1,12,S0041,12.327,32.2,false
R001,1,13,S0040,13.297,34.7,false
R001,1,14,S0039,14.64,38.2,false
R001,1,15,S0038,15.994,41.7,false
R001,1,16,S0037,16.909,44.1,true
R001,1,17,S0036,17.995,46.9,false
R001,1,18,S0035,19.409,50.6,false
R001,1,19,S0034,20.578,53.7,false
R001,1,20,S0033,22.01,57.4,false
R001,1,21,S0032,23.286,60.7,true
R001,1,22,S0031,24.541,64.0,false
R001,1,23,S0030,25.752,67.2,false
R001,1,24,S0029,26.933,70.3,true
R002,0,1,S0051,0.0,0.0,true
R002,0,2,S0052,0.839,3.0,false
R002,0,3,S0053,1.642,5.8,false
R002,0,4,S0054,2.344,8.3,false
R002,0,5,S0055,3.413,12.0,false
R002,0,6,S0056,4.532,16.0,true
R002,0,7,S0057,5.42,19.1,false
R002,0,8,S0058,6.389,22.5,false
R002,0,9,S0059,7.471,26.4,false
R002,0,10,S0005,8.397,29.6,true
R002,0,11,S0060,9.296,32.8,true
R002,0,12,S0061,10.116,35.7,false
R002,0,13,S0062,10.988,38.8,false
R002,0,14,S0063,11.903,42.0,false
R002,0,15,S0064,12.971,45.8,false
R002,0,16,S0065,13.861,48.9,true
R002,0,17,S0066,14.543,51.3,false
R002,0,18,S0067,15.467,54.6,false
R002,0,19,S0006,16.498,58.2,true
R002,1,1,S0006,0.0,0.0,true
R002,1,2,S0067,1.03,3.6,false
R002,1,3,S0066,1.954,6.9,false
R002,1,4,S0065,2.637,9.3,false
R002,1,5,S0064,3.527,12.4,false
R002,1,6,S0063,4.594,16.2,true
R002,1,7,S0062,5.509,19.4,false
R002,1,8,S0061,6.382,22.5,false
R002,1,9,S0060,7.201,25.4,false
R002,1,10,S0005,8.101,28.6,true
R002,1,11,S0059,9.027,31.9,true
R002,1,12,S0058,10.109,35.7,false
R002,1,13,S0057,11.077,39.1,false
R002,1,14,S0056,11.966,42.2,false
R002,1,15,S0055,13.085,46.2,false
R002,1,16,S0054,14.154,50.0,true
R002,1,17,S0053,14.855,52.4,false
R002,1,18,S0052,15.659,55.3,false
R002,1,19,S0051,16.498,58.2,true
R003,0,1,S0068,0.0,0.0,true
R003,0,2,S0069,1.083,3.8,false
R003,0,3,S0070,1.917,6.8,false
R003,0,4,S0071,2.846,10.0,false
R003,0,5,S0072,3.599,12.7,false
R003,0,6,S0027,4.436,15.7,true
R003,0,7,S0073,5.12,18.1,false
R003,0,8,S0074,5.798,20.5,false
R003,0,9,S0075,6.63,23.4,false
R003,0,10,S0076,7.758,27.4,false
R003,0,11,S0077,8.766,30.9,true
R003,0,12,S0078,9.833,34.7,false
R003,0,13,S0067,10.827,38.2,false
R003,0,14,S0025,11.898,42.0,true
R003,1,1,S0025,0.0,0.0,true
R003,1,2,S0067,1.071,3.8,false
R003,1,3,S0078,2.065,7.3,false
R003,1,4,S0077,3.132,11.1,false
R003,1,5,S0076,4.14,14.6,false
R003,1,6,S0075,5.267,18.6,true
R003,1,7,S0074,6.099,21.5,false
R003,1,8,S0073,6.778,23.9,false
R003,1,9,S0027,7.462,26.3,true
R003,1,10,S0072,8.299,29.3,false
R003,1,11,S0071,9.052,31.9,true
R003,1,12,S0070,9.98,35.2,false
R003,1,13,S0069,10.815,38.2,false
R003,1,14,S0068,11.898,42.0,true
R004,0,1,S0059,0.0,0.0,true
R004,0,2,S0079,0.665,2.3,false
R004,0,3,S0080,1.529,5.4,false
R004,0,4,S0081,2.347,8.3,false
R004,0,5,S0082,3.192,11.3,false
R004,0,6,S0083,3.931,13.9,true
R004,0,7,S0084,4.739,16.7,false
R004,0,8,S0085,5.586,19.7,false
R004,0,9,S0086,6.351,22.4,false
R004,0,10,S0017,7.393,26.1,true
R004,1,1,S0017,0.0,0.0,true
R004,1,2,S0086,1.042,3.7,false
R004,1,3,S0085,1.807,6.4,false
R004,1,4,S0084,2.653,9.4,false
R004,1,5,S0083,3.462,12.2,false
R004,1,6,S0082,4.201,14.8,true
R004,1,7,S0081,5.046,17.8,false
R004,1,8,S0080,5.864,20.7,false
R004,1,9,S0079,6.728,23.7,false
R004,1,10,S0059,7.393,26.1,true
R005,0,1,S0087,0.0,0.0,true
R005,0,2,S0076,1.01,3.6,false
R005,0,3,S0077,2.018,7.1,false
R005,0,4,S0088,2.725,9.6,false
R005,0,5,S0078,3.174,11.2,false
R005,0,6,S0066,4.121,14.5,true
R005,0,7,S0025,5.487,19.4,true
R005,0,8,S0089,6.238,22.0,false
R005,0,9,S0090,7.107,25.1,false
R005,0,10,S0091,7.728,27.3,false
R005,0,11,S0092,8.566,30.2,true
R005,0,12,S0035,9.426,33.3,false
R005,0,13,S0034,10.595,37.4,false
R005,0,14,S0093,11.083,39.1,false
R005,0,15,S0015,11.855,41.8,true
R005,1,1,S0015,0.0,0.0,true
R005,1,2,S0093,0.771,2.7,false
R005,1,3,S0034,1.26,4.4,false
R005,1,4,S0035,2.429,8.6,false
R005,1,5,S0092,3.288,11.6,false
R005,1,6,S0091,4.126,14.6,true
R005,1,7,S0090,4.748,16.8,false
R005,1,8,S0089,5.617,19.8,false
R005,1,9,S0025,6.367,22.5,true
R005,1,10,S0066,7.734,27.3,false
R005,1,11,S0078,8.68,30.6,true
R005,1,12,S0088,9.129,32.2,false
R005,1,13,S0077,9.837,34.7,false
R005,1,14,S0076,10.845,38.3,false
R005,1,15,S0087,11.855,41.8,true
R006,0,1,S0094,0.0,0.0,true
R006,0,2,S0095,0.573,2.0,false
R006,0,3,S0096,1.406,5.0,false
R006,0,4,S0097,2.278,8.0,false
R006,0,5,S0098,3.061,10.8,false
R006,0,6,S0099,3.655,12.9,true
R006,0,7,S0100,4.439,15.7,false
R006,0,8,S0101,5.014,17.7,false
R006,0,9,S0102,5.797,20.5,false
R006,0,10,S0103,6.639,23.4,false
R006,0,11,S0104,7.52,26.5,true
R006,0,12,S0039,8.07,28.5,false
R006,0,13,S0105,8.887,31.4,false
R006,0,14,S0106,9.598,33.9,false
R006,0,15,S0107,10.439,36.8,false
R006,0,16,S0108,11.154,39.4,true
R006,0,17,S0025,11.607,41.0,true
R006,1,1,S0025,0.0,0.0,true
R006,1,2,S0108,0.454,1.6,false
R006,1,3,S0107,1.168,4.1,false
R006,1,4,S0106,2.009,7.1,false
R006,1,5,S0105,2.721,9.6,false
R006,1,6,S0039,3.538,12.5,true
R006,1,7,S0104,4.087,14.4,false
R006,1,8,S0103,4.969,17.5,false
R006,1,9,S0102,5.81,20.5,false
R006,1,10,S0101,6.593,23.3,false
R006,1,11,S0100,7.169,25.3,true
R006,1,12,S0099,7.952,28.1,false
R006,1,13,S0098,8.547,30.2,false
R006,1,14,S0097,9.33,32.9,false
R006,1,15,S0096,10.201,36.0,false
R006,1,16,S0095,11.034,38.9,true
R006,1,17,S0094,11.607,41.0,true
R007,0,1,S0109,0.0,0.0,true
R007,0,2,S0110,0.548,1.7,false
R007,0,3,S0111,1.278,4.0,false
R007,0,4,S0112,2.091,6.6,false
R007,0,5,S0113,2.653,8.4,false
R007,0,5,S0114,3.243,10.2,true
R007,0,7,S0115,3.781,11.9,false
R007,0,8,S0116,4.585,14.5,false
R007,0,9,S0117,5.163,16.3,false
R007,0,10,S0118,5.982,18.9,false
R007,0,11,S0119,6.564,20.7,true
R007,0,12,S0028,7.11,22.5,true
R007,1,1,S0028,0.0,0.0,true
R007,1,2,S0119,0.546,1.7,false
R007,1,3,S0118,1.128,3.6,false
R007,1,4,S0117,1.947,6.1,false
R007,1,5,S0116,2.525,8.0,false
R007,1,6,S0115,3.329,10.5,true
R007,1,7,S0114,3.867,12.2,false
R007,1,8,S0113,4.457,14.1,false
R007,1,9,S0112,5.019,15.8,false
R007,1,10,S0111,5.832,18.4,false
R007,1,11,S0110,6.562,20.7,true
R007,1,12,S0109,7.11,22.5,true
R008,0,1,S0120,0.0,0.0,true
R008,0,2,S0121,0.716,2.3,false
R008,0,3,S0122,1.215,3.8,false
R008,0,4,S0123,1.847,5.8,false
R008,0,5,S0124,2.43,7.7,false
R008,0,6,S0125,3.024,9.5,true
R008,0,7,S0126,3.805,12.0,false
R008,0,8,S0019,4.578,14.5,true
R008,1,1,S0019,0.0,0.0,true
R008,1,2,S0126,0.772,2.4,false
R008,1,3,S0125,1.554,4.9,false
R008,1,4,S0124,2.148,6.8,false
R008,1,5,S0123,2.731,8.6,false
R008,1,6,S0122,3.363,10.6,true
R008,1,7,S0121,3.862,12.2,false
R008,1,8,S0120,4.578,14.5,true
