schedule_id,route_id,service_id,direction,period,start_time,end_time,headway_min,planned_runtime_min,valid_from,valid_to
SCH000001,R001,WKDY_AUT25,0,early,05:30,07:00,15,62.1,2025-09-01,2025-12-31
SCH000002,R001,WKDY_AUT25,0,am_peak,07:00,10:00,10,80.8,2025-09-01,2025-12-31
SCH000003,R001,WKDY_AUT25,0,midday,10:00,16:00,15,70.3,2025-09-01,2025-12-31
SCH000004,R001,WKDY_AUT25,0,pm_peak,16:00,19:30,10,85.0,2025-09-01,2025-12-31
SCH000005,R001,WKDY_AUT25,0,evening,19:30,22:30,20,67.3,2025-09-01,2025-12-31
SCH000006,R001,WKDY_AUT25,1,early,05:30,07:00,15,62.1,2025-09-01,2025-12-31
SCH000007,R001,WKDY_AUT25,1,am_peak,07:00,10:00,10,80.8,2025-09-01,2025-12-31
SCH000008,R001,WKDY_AUT25,1,midday,10:00,16:00,15,70.3,2025-09-01,2025-12-31
SCH000009,R001,WKDY_AUT25,1,pm_peak,16:00,19:30,10,85.0,2025-09-01,2025-12-31
SCH000010,R001,WKDY_AUT25,1,evening,19:30,22:30,20,67.3,2025-09-01,2025-12-31
SCH000011,R002,WKDY_AUT25,0,early,05:30,07:00,30,45.0,2025-09-01,2025-12-31
SCH000012,R002,WKDY_AUT25,0,am_peak,07:00,10:00,20,70.7,2025-09-01,2025-12-31
SCH000013,R002,WKDY_AUT25,0,midday,10:00,16:00,30,58.2,2025-09-01,2025-12-31
SCH000014,R002,WKDY_AUT25,0,pm_peak,16:00,19:30,20,73.3,2025-09-01,2025-12-31
SCH000015,R002,WKDY_AUT25,0,evening,19:30,22:30,45,52.1,2025-09-01,2025-12-31
SCH000016,R002,WKDY_AUT25,1,early,05:30,07:00,30,45.0,2025-09-01,2025-12-31
SCH000017,R002,WKDY_AUT25,1,am_peak,07:00,10:00,20,70.7,2025-09-01,2025-12-31
SCH000018,R002,WKDY_AUT25,1,midday,10:00,16:00,30,58.2,2025-09-01,2025-12-31
SCH000019,R002,WKDY_AUT25,1,pm_peak,16:00,19:30,20,73.3,2025-09-01,2025-12-31
