stop_id,stop_name,latitude,longitude,zone,stop_type,has_shelter,opened_date
S0004,Anarkali,31.568,74.31,A,hub,true,2005-01-01
S0005,Mall Road GPO,31.5655,74.317,A,hub,true,2005-01-01
S0006,Liberty Market,31.51,74.345,A,hub,true,2005-01-01
S0015,Airport,31.521,74.403,B,hub,true,2005-01-01
S0017,Shahdara,31.62,74.285,B,hub,true,2005-01-01
S0019,Wapda Town,31.435,74.265,C,hub,true,2005-01-01
S0025,Gulberg Main Boulevard,31.52,74.35,A,hub,true,2005-01-01
S0027,Iqbal Town,31.513,74.286,B,hub,true,2005-01-01
S0028,Badami Bagh,31.593,74.324,B,hub,true,2005-01-01
S0029,DHA School,31.49297,74.437749,B,terminal,true,2018-05-11
S0030,Airport Masjid,31.49892,74.430069,B,regular,false,2018-05-11
S0031,Airport Bazaar,31.503044,74.420585,B,regular,true,2018-05-11
S0032,Airport Chowk,31.509079,74.412126,B,regular,false,2018-05-11
S0033,Airport Block,31.514154,74.402621,B,regular,false,2018-05-11
S0034,Cantt Road,31.51995,74.392026,B,regular,true,2018-05-11
S0035,Cantt Mor,31.524074,74.382958,A,regular,false,2018-05-11
S0036,Cantt Park,31.531201,74.373757,A,regular,false,2018-05-11
S0037,Gulberg Park,31.5357,74.365794,A,regular,true,2018-05-11
S0038,Gulberg Gate,31.539892,74.359425,A,regular,true,2018-05-11
S0039,Gulberg Adda,31.54624,74.350141,A,regular,true,2018-05-11
S0040,Mall Stop,31.5519,74.340376,A,regular,true,2018-05-11
S0041,Mall Plaza,31.555255,74.332802,A,regular,true,2018-05-11
S0042,Mall Road GPO Gate,31.560956,74.324697,A,regular,true,2018-05-11
S0043,Anarkali Chowk,31.570375,74.29877,A,regular,true,2018-05-11
S0044,Data School,31.573051,74.287618,B,regular,true,2018-05-11
S0045,Data Bridge,31.5751,74.279272,B,regular,true,2018-05-11
S0046,Data Stop,31.578119,74.270759,B,regular,false,2018-05-11
S0047,Data Bazaar,31.580856,74.259423,B,regular,false,2018-05-11
S0048,Data Hospital,31.582569,74.250434,B,regular,false,2018-05-11
S0049,Shahdara Stop,31.585124,74.239345,B,regular,true,2018-05-11
S0050,Shahdara Masjid,31.587709,74.232572,B,terminal,true,2018-05-11
S0051,Shahdara Block,31.627832,74.311105,B,terminal,true,2022-02-22
S0052,Shahdara Chowk,31.621577,74.311845,B,regular,true,2022-02-22
S0053,Minar-e-Pakistan Chowk,31.615689,74.313319,B,regular,true,2022-02-22
S0054,Minar-e-Pakistan School,31.610455,74.31271,B,regular,true,2022-02-22
S0055,Minar-e-Pakistan Block,31.602444,74.312649,B,regular,false,2022-02-22
S0056,Minar-e-Pakistan Road,31.594399,74.315422,B,regular,true,2022-02-22
S0057,Minar-e-Pakistan Colony,31.587743,74.315669,A,regular,true,2022-02-22
S0058,Data Darbar Market,31.580519,74.316522,A,regular,true,2022-02-22
S0059,Mall Road GPO Masjid,31.572436,74.317248,A,terminal,true,2022-02-22
S0060,Mall Road GPO Hospital,31.559278,74.320052,A,regular,true,2022-02-22
S0061,Mall School,31.553868,74.323463,A,regular,false,2022-02-22
S0062,Mall Road,31.547479,74.325088,A,regular,false,2022-02-22
S0063,Mall Hospital,31.5417,74.329418,A,regular,false,2022-02-22
S0064,Gulberg Bridge,31.534386,74.333219,A,regular,true,2022-02-22
S0065,Gulberg Bazaar,31.528121,74.335912,A,regular,false,2022-02-22
S0066,Gulberg Main Boulevard Colony,31.523619,74.33876,A,regular,false,2022-02-22
S0067,Liberty Market Mor,31.517028,74.341252,A,regular,false,2022-02-22
