vehicle_id,registration_no,vehicle_type,capacity_seated,capacity_total,depot,fuel_type,commission_date,has_apc,status
V0001,LEY-1228,articulated,48,150,Airport Depot,hybrid,2015-01-07,true,active
V0002,LEC-9981,articulated,48,150,Airport Depot,hybrid,2023-11-08,true,active
V0003,LEB-5805,articulated,48,150,Airport Depot,hybrid,2018-09-18,true,active
V0004,LEV-9350,articulated,48,150,Airport Depot,hybrid,2013-07-11,true,active
V0005,LEL-5656,articulated,48,150,Airport Depot,diesel,2018-02-25,true,active
V0006,LEX-5654,articulated,48,150,Airport Depot,hybrid,2022-03-05,true,active
V0007,LED-5567,articulated,48,150,Airport Depot,hybrid,2016-04-28,true,active
V0008,LET-7853,articulated,48,150,Airport Depot,hybrid,2014-05-15,true,active
V0009,LEP-4033,articulated,48,150,Airport Depot,hybrid,2016-09-15,true,active
V0010,LEV-9901,articulated,48,150,Airport Depot,hybrid,2021-08-16,false,active
V0011,LEK-3489,articulated,48,150,Airport Depot,hybrid,2022-10-08,true,active
V0012,LEB-4104,articulated,48,150,Airport Depot,diesel,2018-08-19,true,active
V0013,LES-7767,articulated,48,150,Airport Depot,diesel,2020-03-10,true,active
V0014,LEL-3364,articulated,48,150,Airport Depot,hybrid,2019-01-20,false,active
V0015,LEM-8347,articulated,48,150,Airport Depot,diesel,2023-11-14,true,active
V0016,LEU-1902,articulated,48,150,Airport Depot,hybrid,2012-12-25,true,active
V0017,LEX-3958,articulated,48,150,Airport Depot,diesel,2015-02-19,true,active
V0018,LER-8566,articulated,48,150,Airport Depot,diesel,2019-03-12,false,active
V0019,LEU-9552,articulated,48,150,Airport Depot,hybrid,2021-10-29,true,active
V0020,LET-4897,articulated,48,150,Airport Depot,hybrid,2019-09-23,true,active
V0021,LEG-4780,articulated,48,150,Airport Depot,hybrid,2021-06-15,true,active
V0022,LEC-7551,articulated,48,150,Airport Depot,diesel,2024-03-01,true,active
V0023,LEW-9788,articulated,48,150,Airport Depot,diesel,2024-03-11,true,active
V0024,LEF-8673,articulated,48,150,Airport Depot,hybrid,2020-11-22,true,active
V0025,LEM-2917,standard,36,70,Shahdara Depot,cng,2023-09-06,true,active
V0026,LEF-9655,standard,36,70,Shahdara Depot,diesel,2014-08-23,true,active
V0027,LEY-8310,standard,36,70,Shahdara Depot,electric,2015-12-12,true,active
V0028,LET-7224,standard,36,70,Shahdara Depot,cng,2015-05-26,true,active
V0029,LEG-3566,standard,36,70,Shahdara Depot,diesel,2013-02-28,false,active
V0030,LEC-2612,standard,36,70,Shahdara Depot,cng,2021-04-17,false,active
V0031,LET-8277,standard,36,70,Shahdara Depot,cng,2018-07-01,true,active
V0032,LES-7343,standard,36,70,Shahdara Depot,diesel,2024-02-21,true,active
V0033,LEG-1175,standard,36,70,Shahdara Depot,cng,2015-02-17,true,active
V0034,LEP-9262,standard,36,70,Shahdara Depot,cng,2021-12-09,true,active
V0035,LEW-8171,standard,36,70,Shahdara Depot,electric,2019-12-16,true,active
